condition,modele,graine,fichier,saturation_moy,fond_blanc,encre,epaisseur,regions,composantes,remplissage,fuite
A-trait,flux,g1001,flux_A-trait_g1001,3.54,100.0,6.39,14.62,22,47,37.69,False
A-trait,flux,g2002,flux_A-trait_g2002,4.05,100.0,5.59,19.88,15,75,41.08,False
A-trait,flux,g3003,flux_A-trait_g3003,2.85,100.0,3.89,12.75,22,47,38.1,False
A-trait,flux,g4004,flux_A-trait_g4004,5.64,100.0,8.63,18.01,26,52,39.95,False
A-trait,flux,g5005,flux_A-trait_g5005,3.13,100.0,4.26,10.09,19,95,46.83,False
A-trait,flux,g6006,flux_A-trait_g6006,1.62,100.0,3.17,8.92,28,24,34.78,False
B-couleur,flux,g1001,flux_B-couleur_g1001,43.23,0.0,31.2,182.67,3,46,46.9,False
B-couleur,flux,g2002,flux_B-couleur_g2002,30.99,0.01,40.52,133.93,4,129,46.23,False
B-couleur,flux,g3003,flux_B-couleur_g3003,22.06,0.0,7.01,43.12,0,13,83.9,True
B-couleur,flux,g4004,flux_B-couleur_g4004,41.82,0.0,20.4,85.83,0,28,70.77,True
B-couleur,flux,g5005,flux_B-couleur_g5005,24.21,100.0,35.58,143.77,4,104,47.21,False
B-couleur,flux,g6006,flux_B-couleur_g6006,48.14,0.0,9.12,37.07,2,67,80.66,True
A-trait,sdxl,g1001,sdxl_A-trait_g1001,26.29,0.0,31.29,196.81,4,99,98.26,True
A-trait,sdxl,g2002,sdxl_A-trait_g2002,42.01,0.0,16.76,35.74,2,41,68.31,True
A-trait,sdxl,g3003,sdxl_A-trait_g3003,19.84,0.0,78.23,775.38,1,153,78.23,True
A-trait,sdxl,g4004,sdxl_A-trait_g4004,37.99,0.0,15.99,72.19,4,134,72.32,True
A-trait,sdxl,g5005,sdxl_A-trait_g5005,31.7,0.0,8.29,63.05,1,22,85.72,True
A-trait,sdxl,g6006,sdxl_A-trait_g6006,57.05,0.0,9.25,63.25,0,9,72.2,True
B-couleur,sdxl,g1001,sdxl_B-couleur_g1001,67.04,0.0,15.73,135.69,1,28,52.33,False
B-couleur,sdxl,g2002,sdxl_B-couleur_g2002,75.46,0.0,21.76,51.8,3,154,59.73,True
B-couleur,sdxl,g3003,sdxl_B-couleur_g3003,33.01,0.0,77.08,743.7,1,71,77.08,True
B-couleur,sdxl,g4004,sdxl_B-couleur_g4004,73.93,0.0,70.05,269.43,5,968,70.05,True
B-couleur,sdxl,g5005,sdxl_B-couleur_g5005,61.03,0.0,78.42,714.37,2,46,91.06,True
B-couleur,sdxl,g6006,sdxl_B-couleur_g6006,59.92,0.0,10.24,122.96,0,14,69.27,True
D-trait-tags,sdxl,g1001,sdxl_D-trait-tags_g1001,2.99,0.0,48.4,263.4,0,264,99.71,True
D-trait-tags,sdxl,g2002,sdxl_D-trait-tags_g2002,15.11,0.0,18.41,28.11,3,295,64.9,True
D-trait-tags,sdxl,g3003,sdxl_D-trait-tags_g3003,3.55,0.0,80.62,759.01,2,374,80.62,True
D-trait-tags,sdxl,g4004,sdxl_D-trait-tags_g4004,4.12,0.0,17.78,109.2,1,192,67.91,True
D-trait-tags,sdxl,g5005,sdxl_D-trait-tags_g5005,2.9,0.0,19.6,28.86,13,511,50.09,False
D-trait-tags,sdxl,g6006,sdxl_D-trait-tags_g6006,3.9,0.0,15.23,94.48,2,22,72.2,True
E-couleur-tags,sdxl,g1001,sdxl_E-couleur-tags_g1001,47.09,0.0,72.39,394.81,2,291,82.97,True
E-couleur-tags,sdxl,g2002,sdxl_E-couleur-tags_g2002,65.65,0.0,11.74,15.69,2,442,75.58,True
E-couleur-tags,sdxl,g3003,sdxl_E-couleur-tags_g3003,36.45,0.0,80.68,608.41,2,141,80.68,True
E-couleur-tags,sdxl,g4004,sdxl_E-couleur-tags_g4004,31.36,0.0,61.12,369.09,5,333,67.5,True
E-couleur-tags,sdxl,g5005,sdxl_E-couleur-tags_g5005,56.1,0.0,85.92,518.63,2,242,85.92,True
E-couleur-tags,sdxl,g6006,sdxl_E-couleur-tags_g6006,66.8,0.0,76.53,532.07,2,67,76.53,True
C-extrait,flux,g1001,flux_C-extrait_g1001,43.23,0.0,31.81,138.62,14,53,43.31,False
C-extrait,flux,g2002,flux_C-extrait_g2002,30.99,0.01,2.01,4.81,10,237,93.86,True
C-extrait,flux,g3003,flux_C-extrait_g3003,22.06,0.0,1.99,19.27,3,252,94.91,True
C-extrait,flux,g4004,flux_C-extrait_g4004,41.82,0.0,2.63,10.59,17,105,91.61,True
C-extrait,flux,g5005,flux_C-extrait_g5005,24.21,100.0,0.45,4.82,5,125,97.95,True
C-extrait,flux,g6006,flux_C-extrait_g6006,48.14,0.0,1.96,13.11,5,218,94.36,True
C-extrait,sdxl,g1001,sdxl_C-extrait_g1001,67.04,0.0,15.59,60.75,4,1434,82.51,True
C-extrait,sdxl,g2002,sdxl_C-extrait_g2002,75.46,0.0,99.5,635.77,0,1,99.5,True
C-extrait,sdxl,g3003,sdxl_C-extrait_g3003,33.01,0.0,81.28,715.6,5,1151,81.28,True
C-extrait,sdxl,g4004,sdxl_C-extrait_g4004,73.93,0.0,72.91,68.12,11,1561,72.91,True
C-extrait,sdxl,g5005,sdxl_C-extrait_g5005,61.03,0.0,99.82,716.86,0,1,99.82,True
C-extrait,sdxl,g6006,sdxl_C-extrait_g6006,59.92,0.0,0.45,4.27,0,74,98.64,True
